Región,Comuna,Factor desencadenante,Longitud,Latitud,Sistema Georeferencia,Cota (m.s.n.m),PP,valor_humedad_suelo1,valor_humedad_suelo2,valor_humedad_suelo3,valor_humedad_suelo4,Fecha Evento,Tipo Remoción en masa,Unnamed: 0,Valor,slope
Los Lagos,Castro,Precipitaciones,-73.5855,-42.2686,WGS 84- UTM 18 S,-,13.532033605501056,0.421875,0.369903564453125,0.33453369140625,0.371612548828125,07/03/2001,Flujo,0.0,1.0,32.35729954328085
Los Lagos,Castro,Precipitaciones,-73.5855,-42.2686,WGS 84- UTM 18 S,-,238.1399183422327,0.438995361328125,0.438995361328125,0.4302215576171875,0.372833251953125,09/03/2001,Flujo,1.0,1.0,32.35729954328085
Los Lagos,Chaitén,Precipitaciones,-72.4983,-42.2087,WGS 84- UTM 18 S,-,132.05437722802162,,,,,03/05/2002,Deslizamiento,2.0,1.0,0.0
Los Lagos,Río Negro,Precipitaciones,-73.5889,-40.5083,WGS 84- UTM 18 S,6,32.05904547544196,0.5200042724609375,0.517608642578125,0.5187225341796875,0.513336181640625,09/08/2002,Deslizamiento,3.0,1.0,37.49781177377808
Los Lagos,Osorno,Precipitaciones,-73.40469999999999,-40.375,WGS 84- UTM 18 S,126,0.0,0.478973388671875,0.4781646728515625,0.4836273193359375,0.5011749267578125,22/08/2007,Deslizamiento,4.0,1.0,36.717389212770435
Los Lagos,Huilaihué,Precipitaciones,-72.4482,-41.8099,WGS 84- UTM 18 S,4,2.1911901044659317,0.4380950927734375,0.4381103515625,0.4255523681640625,0.436553955078125,10/09/2007,Deslizamiento,5.0,1.0,60.517944689732964
Los Lagos,Calbuco,Precipitaciones,-72.93599999999999,-41.5693,WGS 84- UTM 18 S,-,103.08036432787776,,,,,18/05/2008,Deslizamiento,6.0,1.0,0.0
Los Lagos,Calbuco,Precipitaciones,-72.93169999999999,-41.5676,WGS 84- UTM 18 S,-,4.990328658372164,,,,,19/05/2008,Deslizamiento,7.0,1.0,0.0
Los Lagos,Calbuco,Precipitaciones,-72.9275,-41.5636,WGS 84- UTM 18 S,-,58.66890349984169,,,,,20/05/2008,Deslizamiento,8.0,1.0,0.0
Los Lagos,Calbuco,Precipitaciones,-72.9365,-41.5657,WGS 84- UTM 18 S,-,51.87022396043176,,,,,21/05/2008,Deslizamiento,9.0,1.0,0.0
