Región,Comuna,Tipo Remoción en masa,Factor desencadenante,Fecha Evento,Longitud,Latitud,Sistema Georeferencia,Cota (m.s.n.m)
Los Lagos,Castro,Flujo,Precipitaciones,07/03/2001,-73.7855,-42.4686,WGS 84- UTM 18 S,-
Los Lagos,Castro,Flujo,Precipitaciones,09/03/2001,-73.7855,-42.4686,WGS 84- UTM 18 S,-
Los Lagos,Chaitén,Deslizamiento,Precipitaciones,03/05/2002,-72.6983,-42.4087,WGS 84- UTM 18 S,-
Los Lagos,Río Negro,Deslizamiento,Precipitaciones,09/08/2002,-73.7889,-40.7083,WGS 84- UTM 18 S,6
Los Lagos,Osorno,Deslizamiento,Precipitaciones,22/08/2007,-73.6047,-40.575,WGS 84- UTM 18 S,126
Los Lagos,Huilaihué,Deslizamiento,Precipitaciones,10/09/2007,-72.6482,-42.0099,WGS 84- UTM 18 S,4
Los Lagos,Calbuco,Deslizamiento,Precipitaciones,18/05/2008,-73.136,-41.7693,WGS 84- UTM 18 S,-
Los Lagos,Calbuco,Deslizamiento,Precipitaciones,19/05/2008,-73.1317,-41.7676,WGS 84- UTM 18 S,-
Los Lagos,Calbuco,Deslizamiento,Precipitaciones,20/05/2008,-73.1275,-41.7636,WGS 84- UTM 18 S,-
Los Lagos,Calbuco,Deslizamiento,Precipitaciones,21/05/2008,-73.1365,-41.7657,WGS 84- UTM 18 S,-
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,23/06/2017,-72.978264,-41.495016,WGS 84- UTM 18 S,-
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,23/06/2017,-72.978264,-41.495016,WGS 84- UTM 18 S,-
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,15/06/2017,-72.962965,-41.468275,WGS 84- UTM 18 S,-
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,15/06/2017,-72.952511,-41.466,WGS 84- UTM 18 S,-
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,19/04/2010,-72.9516,-41.4679,WGS 84- UTM 18 S,56
Los Lagos,Chaitén,Deslizamiento,Precipitaciones,02/09/2011,-72.323,-43.3966,WGS 84- UTM 18 S,-
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,23/05/2013,-72.8086,-41.4982,WGS 84- UTM 18 S,30
Los Lagos,Frutillar,Flujo,Precipitaciones,02/06/2014,-73.029,-41.1379,WGS 84- UTM 18 S,62
Los Lagos,San Juan de la Costa,Deslizamiento,Precipitaciones,01/06/2014,-73.7177,-40.5453,WGS 84- UTM 18 S,22
Los Lagos,San Juan de la Costa,Deslizamiento,Precipitaciones,02/06/2014,-73.7177,-40.5453,WGS 84- UTM 18 S,22
Los Lagos,San Juan de la Costa,Deslizamiento,Precipitaciones,01/06/2014,-73.7447,-40.6048,WGS 84- UTM 18 S,18
Los Lagos,San Juan de la Costa,Deslizamiento,Precipitaciones,02/06/2014,-73.7447,-40.6048,WGS 84- UTM 18 S,18
Los Lagos,Ancud,Deslizamiento,Precipitaciones,04/05/2002,-73.9255,-42.0363,WGS 84- UTM 18 S,68
Los Lagos,Puerto Varas,Deslizamiento,Precipitaciones,08/05/2013,-72.9766,-41.3213,WGS 84- UTM 18 S,64
Los Lagos,Puerto Varas,Flujo,Precipitaciones,02/07/2013,-72.4016,-41.1432,WGS 84- UTM 18 S,264
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,02/07/2013,-72.9522,-41.4692,WGS 84- UTM 18 S,59
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,04/06/2014,-72.8129,-41.4923,WGS 84- UTM 18 S,29
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,04/06/2014,-72.9988,-41.5076,WGS 84- UTM 18 S,22
Los Lagos,Puerto Montt,Flujo,Precipitaciones,04/06/2014,-72.9988,-41.5076,WGS 84- UTM 18 S,22
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,04/06/2014,-73.0444,-41.5226,WGS 84- UTM 18 S,-
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,02/06/2014,-72.963,-41.4811,WGS 84- UTM 18 S,83
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,02/06/2014,-72.963,-41.4811,WGS 84- UTM 18 S,83
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,02/06/2014,-72.9521,-41.4678,WGS 84- UTM 18 S,69
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,02/06/2014,-72.9521,-41.4678,WGS 84- UTM 18 S,69
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,02/06/2014,-73.14,-41.753,WGS 84- UTM 18 S,67
Los Lagos,Calbuco,Flujo,Precipitaciones,02/06/2014,-73.1294,-41.7633,WGS 84- UTM 18 S,28
Los Lagos,Calbuco,Deslizamiento,Precipitaciones,02/06/2014,-73.1359,-41.7655,WGS 84- UTM 18 S,16
Los Lagos,Calbuco,Deslizamiento,Precipitaciones,02/06/2014,-73.1361,-41.7658,WGS 84- UTM 18 S,15
Los Lagos,Calbuco,Deslizamiento,Precipitaciones,02/06/2014,-73.133,-41.7677,WGS 84- UTM 18 S,20
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,02/06/2014,-73.0475,-41.527,WGS 84- UTM 18 S,16
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,02/06/2014,-73.0475,-41.527,WGS 84- UTM 18 S,16
Los Lagos,Quemchi,Deslizamiento,Precipitaciones,25/07/2015,-73.5039,-42.1428,WGS 84- UTM 18 S,112
Los Lagos,San Juan de la Costa,Deslizamiento,Precipitaciones,19/07/2015,-73.7358,-40.592,WGS 84- UTM 18 S,43
Los Lagos,Los Muermos,Deslizamiento,Precipitaciones,29/08/2015,-73.8351,-41.395,WGS 84- UTM 18 S,
Los Lagos,Los Muermos,Deslizamiento,Precipitaciones,31/08/2015,-73.8351,-41.395,WGS 84- UTM 18 S,
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,17/01/2014,-72.8994,-41.484,WGS 84- UTM 18 S,35
Los Lagos,Localidad de Guapi-Quilan,Deslizamiento,Precipitaciones,25/12/2016,-74.2937289,-43.3225986,WGS 84- UTM 18 S,-
Los Lagos,Localidad Inio,Deslizamiento,Precipitaciones,25/12/2016,-74.1314642,-43.35946243,WGS 84- UTM 18 S,-
Los Lagos,sector Rahue La Montaña,Deslizamiento,Precipitaciones,23/08/2017,-74.1280648,-42.70960244,WGS 84- UTM 18 S,-
Los Lagos,ruta Chanquin a Huentemó,Deslizamiento,Precipitaciones,28/07/2017,-74.1221986,-42.59022502,WGS 84- UTM 18 S,-
Los Lagos,ruta Huillinco-Cucao,Deslizamiento,Precipitaciones,25/12/2016,-74.1168933,-42.65260205,WGS 84- UTM 18 S,-
Los Lagos,ruta Huillinco-Cucao,Deslizamiento,Precipitaciones,25/12/2016,-74.078693,-42.64363784,WGS 84- UTM 18 S,-
Los Lagos,ruta Huillinco-Cucao,Deslizamiento,Precipitaciones,25/12/2016,-74.0363473,-42.66138156,WGS 84- UTM 18 S,-
Los Lagos,ruta Huillinco-Cucao,Deslizamiento,Precipitaciones,25/12/2016,-74.0129503,-42.66485658,WGS 84- UTM 18 S,-
Los Lagos,sector Puente Caldera,Deslizamiento,Precipitaciones,07/06/2017,-74.0122174,-42.6649043,WGS 84- UTM 18 S,-
Los Lagos,camino a Cucao,Deslizamiento,Precipitaciones,08/05/2017,-74.0037725,-42.66572271,WGS 84- UTM 18 S,-
Los Lagos,ruta Huillinco-Cucao,Deslizamiento,Precipitaciones,25/12/2016,-73.9971545,-42.66825854,WGS 84- UTM 18 S,-
Los Lagos,Ancud,Deslizamiento,Precipitaciones,04/05/2002,-73.9255,-42.0363,WGS 84- UTM 18 S,
Los Lagos,camino Notuco-Huillinco,Deslizamiento,Precipitaciones,22/06/2012,-73.8812419,-42.66597831,WGS 84- UTM 18 S,-
Los Lagos,Los Muermos,Deslizamiento,Precipitaciones,29/08/2015,-73.8351,-41.395,WGS 84- UTM 18 S,
Los Lagos,Los Muermos,Deslizamiento,Precipitaciones,31/08/2015,-73.8351,-41.395,WGS 84- UTM 18 S,
Los Lagos,Caleta Estaquilla,Deslizamiento,Precipitaciones,29/08/2015,-73.8350706,-41.39498188,WGS 84- UTM 18 S,-
Los Lagos,Caleta Estaquilla,Deslizamiento,Precipitaciones,03/07/2004,-73.8350488,-41.39352246,WGS 84- UTM 18 S,-
Los Lagos,Caleta Estaquilla,Deslizamiento,Precipitaciones,15/06/2015,-73.8350488,-41.39352246,WGS 84- UTM 18 S,-
Los Lagos,sector Mechaico,Deslizamiento,Precipitaciones,06/06/2014,-73.8309446,-41.93736687,WGS 84- UTM 18 S,-
Los Lagos,sector Mechaico,Deslizamiento,Precipitaciones,20/05/2015,-73.8309336,-41.93731272,WGS 84- UTM 18 S,-
Los Lagos,sector Mechaico,Deslizamiento,Precipitaciones,02/07/2013,-73.8309209,-41.93734862,WGS 84- UTM 18 S,-
Los Lagos,sector Mechaico,Deslizamiento,Precipitaciones,02/06/2014,-73.8308852,-41.93732124,WGS 84- UTM 18 S,-
Los Lagos,ruta 5 sector cuesta Mechaico,Deslizamiento,Precipitaciones,10/09/2017,-73.8286498,-41.93291225,WGS 84- UTM 18 S,-
Los Lagos,ruta 5 sector cuesta Mechaico,Deslizamiento,Precipitaciones,06/05/2014,-73.827809,-41.93272354,WGS 84- UTM 18 S,-
Los Lagos,sector San Antonio,Deslizamiento,Precipitaciones,30/05/2013,-73.8262673,-41.86348291,WGS 84- UTM 18 S,-
Los Lagos,Yerbaloza,Deslizamiento,Precipitaciones,09/05/2013,-73.8253489,-42.86547171,WGS 84- UTM 18 S,-
Los Lagos,ruta 5 sector puente San Antonio,Deslizamiento,Precipitaciones,02/06/2014,-73.8211992,-41.95890995,WGS 84- UTM 18 S,-
Los Lagos,ruta 5,Deslizamiento,Precipitaciones,25/12/2016,-73.8097417,-42.57664326,WGS 84- UTM 18 S,-
Los Lagos,ruta 5 sector Coihuin,Deslizamiento,Precipitaciones,18/04/2015,-73.7889271,-42.74021647,WGS 84- UTM 18 S,-
Los Lagos,Caleta Hueyelhue,Deslizamiento,Precipitaciones,09/08/2002,-73.7888791,-40.7083028,WGS 84- UTM 18 S,-
Los Lagos,Río Negro,Deslizamiento,Precipitaciones,09/08/2002,-73.7888,-40.7086,WGS 84- UTM 18 S,
Los Lagos,ruta 5,Deslizamiento,Precipitaciones,25/12/2016,-73.7876817,-42.7138356,WGS 84- UTM 18 S,-
Los Lagos,W-853,Deslizamiento,Precipitaciones,25/12/2016,-73.7874322,-42.76363249,WGS 84- UTM 18 S,-
Los Lagos,sector Pulpito,Deslizamiento,Precipitaciones,03/05/2013,-73.7873652,-42.76894491,WGS 84- UTM 18 S,-
Los Lagos,Población Cardenal Silva Henríquez,Flujo,Precipitaciones,07/03/2001,-73.7855165,-42.46860021,WGS 84- UTM 18 S,-
Los Lagos,Castro,Deslizamiento,Precipitaciones,14/06/2017,-73.782025,-42.472994,WGS 84- UTM 18 S,
Los Lagos,calle Hullinco. polación Prat 1,Deslizamiento,Precipitaciones,15/06/2017,-73.7819256,-42.47311901,WGS 84- UTM 18 S,-
Los Lagos,Castro,Deslizamiento,Precipitaciones,14/06/2017,-73.779232,-42.46648,WGS 84- UTM 18 S,
Los Lagos,calle Caguach,Deslizamiento,Precipitaciones,15/06/2017,-73.7791081,-42.4666139,WGS 84- UTM 18 S,-
Los Lagos,Castro,Deslizamiento. Flujo,Precipitaciones,15/06/2017,-73.77599,-42.465358,WGS 84- UTM 18 S,
Los Lagos,Lomas de Castro - Calle Galvarino Riveros Norte,Deslizamiento,Precipitaciones,15/06/2017,-73.7759169,-42.46558922,WGS 84- UTM 18 S,-
Los Lagos,Calle Antonio Quintanilla,Deslizamiento,Precipitaciones,15/06/2017,-73.7739153,-42.46967444,WGS 84- UTM 18 S,-
Los Lagos,Castro,Flujo,Precipitaciones,09/03/2001,-73.773733,-42.468042,WGS 84- UTM 18 S,
Los Lagos,Puente Gamboa - ruta 5,Deslizamiento,Precipitaciones,15/06/2017,-73.7726551,-42.48187273,WGS 84- UTM 18 S,-
